Chromosome, region start, region end, length, peak positon
1,3967125,3968125,1000,3967487
1,3972000,3973525,1525,3972887
1,4921875,4923150,1275,4922212
1,4976300,4977150,850,4976712
1,4978100,4978775,675,4978387
1,5159650,5161125,1475,5160612
1,5450725,5451675,950,5451262
1,6003500,6004175,675,6003862
1,6430275,6430950,675,6430787
1,6507425,6508375,950,6508112
1,7050500,7053250,2750,7051537
1,7059275,7060350,1075,7059437
1,7110600,7112125,1525,7111562
1,7114150,7118025,3875,7116187
1,7119050,7124200,5150,7123237
1,7197200,7199350,2150,7198937
1,7287925,7288525,600,7288262
1,7289175,7290125,950,7289612
1,7342250,7343225,975,7342512
1,7352325,7353175,850,7352712
1,7486000,7490325,4325,7489162
1,7597300,7597900,600,7597537
1,7808900,7809525,625,7809062
1,8037200,8038100,900,8037562
1,8085300,8086450,1150,8085562
1,8525000,8525775,775,8525287
1,8775800,8776525,725,8776112
1,8924900,8927125,2225,8925712
1,8928825,8929450,625,8929062
1,8932450,8934125,1675,8932462
1,9951825,9953375,1550,9952737
1,10155150,10157850,2700,10157237
1,10631100,10632200,1100,10631562
1,10807875,10808825,950,10808137
1,10865825,10866675,850,10865987
1,11260150,11264225,4075,11262637
1,11363200,11364275,1075,11363487
1,11472425,11473375,950,11472887
1,11484425,11485375,950,11484912
1,11519750,11520475,725,11520287
1,11729225,11730650,1425,11730037
1,11731250,11732750,1500,11731887
1,12007650,12008400,750,12007837
1,12574400,12575525,1125,12574837
1,12577850,12578850,1000,12578412
1,12579850,12580825,975,12580237
1,13073100,13074000,900,13073637
1,13253625,13255475,1850,13254587
1,13441150,13442150,1000,13441812
1,13442450,13443625,1175,13442987
1,13499000,13500000,1000,13499612
1,13589875,13591125,1250,13590987
1,13604100,13605250,1150,13604562
1,13649950,13651050,1100,13650412
1,14298275,14298925,650,14298512
1,14673650,14675125,1475,14673937
1,14951875,14952800,925,14952062
1,14961450,14962150,700,14961737
1,15157400,15158325,925,15157662
1,15271850,15272800,950,15272112
1,15779250,15779900,650,15779262
1,15788825,15789775,950,15789062
1,15792325,15793300,975,15792912
1,15813100,15813800,700,15813487
1,16504775,16505550,775,16505112
1,16811975,16813000,1025,16812637
1,16853775,16854600,825,16854087
1,17082400,17083175,775,17082562
1,17224375,17225300,925,17225012
1,17508600,17509600,1000,17509062
1,17652950,17653675,725,17653262
1,17918525,17920025,1500,17919137
1,18042875,18044150,1275,18043662
1,20758225,20759175,950,20758562
1,20891150,20891900,750,20891162
1,21239200,21240025,825,21239562
1,22487075,22488725,1650,22487862
1,23716325,23717350,1025,23716637
1,24958175,24959050,875,24958937
1,25124900,25126050,1150,25125212
1,30034650,30035400,750,30035312
1,30864900,30866350,1450,30865562
1,33351250,33351950,700,33351412
1,33774050,33775250,1200,33774512
1,33852250,33853200,950,33853187
1,34044575,34046325,1750,34046087
1,34873525,34874200,675,34874162
1,35059450,35061025,1575,35060187
1,35137550,35138750,1200,35137862
1,35139350,35140025,675,35139612
1,35160275,35166850,6575,35165737
1,35173600,35174275,675,35173937
1,35175950,35176900,950,35176662
1,35177725,35180450,2725,35178162
1,35417475,35418750,1275,35417487
1,35946050,35947425,1375,35946537
1,35983075,35989925,6850,35987112
1,37030800,37031525,725,37031237
1,37152250,37153225,975,37152712
1,37154025,37155525,1500,37154637
1,37156000,37156900,900,37156537
1,37222675,37223650,975,37223112
1,37227975,37229375,1400,37228462
1,37664450,37665175,725,37664462
1,38570925,38571750,825,38570937
1,39138100,39139175,1075,39138762
1,39312500,39313425,925,39313062
1,40624850,40626850,2000,40625687
1,43631675,43632875,1200,43632037
1,44255175,44255925,750,44255712
1,44274275,44274900,625,44274887
1,45673975,45674825,850,45674387
1,49829850,49830575,725,49830162
1,50871900,50873050,1150,50872112
1,51626125,51627025,900,51627012
1,52471350,52472300,950,52471537
1,52538925,52540125,1200,52539312
1,52869500,52871450,1950,52870212
1,52879425,52884125,4700,52883437
1,52890825,52896700,5875,52894237
1,53333650,53334650,1000,53333687
1,53452000,53452825,825,53452787
1,53470925,53471575,650,53471412
1,53557575,53558775,1200,53558037
1,53689425,53692000,2575,53690712
1,54138500,54139400,900,54139212
1,54983650,54984800,1150,54983887
1,55051250,55052225,975,55051637
1,55307350,55308475,1125,55307362
1,56913975,56914850,875,56914262
1,56921675,56922725,1050,56922012
1,57533050,57534500,1450,57533787
1,58159700,58160700,1000,58160162
1,58274925,58275875,950,58275462
1,58308900,58309750,850,58309487
1,58450450,58453950,3500,58452512
1,58454525,58455400,875,58454837
1,58648525,58649300,775,58648962
1,58693275,58694150,875,58693337
1,58696300,58697175,875,58696937
1,58704850,58706975,2125,58705962
1,59288225,59290025,1800,59289162
1,59294225,59295225,1000,59295112
1,59337975,59338875,900,59338487
1,60294650,60295300,650,60295287
1,60529300,60530250,950,60529312
1,60530550,60531575,1025,60531012
1,60676250,60677525,1275,60676987
1,60730150,60731050,900,60730637
1,62611650,62612500,850,62612337
1,62640450,62641875,1425,62641112
1,64316450,64317225,775,64316762
1,64356400,64357275,875,64356812
1,64892700,64894625,1925,64894112
1,64999825,65002350,2525,65000737
1,65038600,65039225,625,65038937
1,66631925,66632625,700,66632212
1,67865500,67867350,1850,67865587
1,71522400,71525200,2800,71523662
1,72065650,72067475,1825,72066187
1,72273100,72274325,1225,72273187
1,72806775,72807750,975,72807187
1,73814225,73818275,4050,73814937
1,74031500,74032525,1025,74031812
1,74593775,74595075,1300,74594237
1,74704125,74705000,875,74704287
1,74815500,74816225,725,74816112
1,75344500,75345550,1050,75345187
1,75884975,75886250,1275,75885687
1,76470925,76471550,625,76471312
1,77335925,77338450,2525,77337837
1,78193150,78194125,975,78193662
1,78386450,78387425,975,78386637
1,78896875,78897575,700,78897012
1,82378925,82379900,975,82379412
1,82818600,82820200,1600,82819112
1,84813425,84814500,1075,84813712
1,87699800,87700775,975,87700087
1,87711950,87713075,1125,87712587
1,88983875,88984875,1000,88984437
1,88987375,88988100,725,88987387
1,89095100,89096075,975,89095687
1,89340325,89341500,1175,89340937
1,89663525,89664525,1000,89664212
1,90035575,90036275,700,90036262
1,90036800,90037575,775,90036812
1,90101825,90102725,900,90102687
1,90103350,90104225,875,90103362
1,90586300,90586975,675,90586487
1,90625000,90626200,1200,90625962
1,90749375,90750600,1225,90749962
1,91412350,91413050,700,91412737
1,91762975,91763625,650,91763037
1,91889950,91890925,975,91890037
1,92325725,92326900,1175,92326062
1,92327900,92329725,1825,92328387
1,92459350,92460250,900,92459912
1,92721275,92722050,775,92721612
1,92722925,92723675,750,92723287
1,92861250,92862325,1075,92861687
1,93631575,93632375,800,93632287
1,94662125,94663100,975,94662712
1,95025100,95025925,825,95025187
1,95930125,95931450,1325,95930887
1,96865325,96866125,800,96865962
1,97329975,97330800,825,97330537
1,97635400,97636175,775,97635987
1,99490750,99492050,1300,99491587
1,102684150,102685200,1050,102684262
1,103725600,103726450,850,103726187
1,104129175,104130250,1075,104129387
1,105304925,105306950,2025,105306887
1,106854700,106855700,1000,106855012
1,107607925,107608575,650,107608312
1,107947100,107947775,675,107947362
1,110373525,110374125,600,110373762
1,112619300,112621450,2150,112620537
